battery_id,cycle,capacity,initial_capacity,capacity_fade,capacity_fade_percentage,capacity_ratio,soh,temperature,Re,Rct,filename,eol_cycle,rul,cycle_normalized,augmented,augmentation_type
B0005,1,1.8564874208181574,1.8564874208181574,0.0,0.0,1.0,100.0,24.0,0.0552,0.1803,05122.csv,101,100,0.005952380952380952,False,original
B0005,2,1.846327249719927,1.8564874208181574,0.01016017109823042,0.547279285832856,0.9945272071416714,99.45272071416714,24.0,0.0554,0.18059999999999998,05124.csv,101,99,0.011904761904761904,False,original
B0005,3,1.8353491942234077,1.8564874208181574,0.02113822659474973,1.13861404918295,0.9886138595081705,98.86138595081705,24.0,0.055600000000000004,0.1809,05126.csv,101,98,0.017857142857142856,False,original
B0005,4,1.8352625275821128,1.8564874208181574,0.021224893236044595,1.143282362058276,0.9885671763794173,98.85671763794173,24.0,0.0558,0.1812,05128.csv,101,97,0.023809523809523808,False,original
B0005,5,1.8346455082120419,1.8564874208181574,0.021841912606115566,1.1765182118222914,0.9882348178817771,98.82348178817772,24.0,0.056,0.1815,05130.csv,101,96,0.02976190476190476,False,original
B0005,6,1.8356616600675495,1.8564874208181574,0.020825760750607936,1.1217830251405627,0.9887821697485943,98.87821697485944,24.0,0.0562,0.1818,05132.csv,101,95,0.03571428571428571,False,original
B0005,7,1.8351461429226603,1.8564874208181574,0.021341277895497113,1.1495514408652427,0.9885044855913476,98.85044855913476,24.0,0.0564,0.18209999999999998,05134.csv,101,94,0.041666666666666664,False,original
B0005,8,1.8257567905665537,1.8564874208181574,0.03073063025160372,1.6553104484845187,0.9834468955151549,98.34468955151549,24.0,0.0566,0.1824,05136.csv,101,93,0.047619047619047616,False,original
B0005,9,1.8247738529891333,1.8564874208181574,0.031713567829024125,1.7082565426189582,0.9829174345738104,98.29174345738105,24.0,0.0568,0.1827,05138.csv,101,92,0.05357142857142857,False,original
B0005,10,1.824613268496936,1.8564874208181574,0.03187415232122137,1.7169064526801034,0.982830935473199,98.2830935473199,24.0,0.057,0.183,05140.csv,101,91,0.05952380952380952,False,original
B0005,11,1.8246195526864504,1.8564874208181574,0.031867868131707056,1.7165679537792304,0.9828343204622076,98.28343204622077,24.0,0.0572,0.1833,05142.csv,101,90,0.06547619047619048,False,original
B0005,12,1.8142019357673917,1.8564874208181574,0.04228548505076568,2.277714601057215,0.9772228539894279,97.72228539894279,24.0,0.0574,0.18359999999999999,05145.csv,101,89,0.07142857142857142,False,original
B0005,13,1.8137521577549054,1.8564874208181574,0.04273526306325204,2.3019419676120685,0.9769805803238794,97.69805803238793,24.0,0.0576,0.18389999999999998,05147.csv,101,88,0.07738095238095238,False,original
B0005,14,1.8134404914735822,1.8564874208181574,0.04304692934457521,2.318729923071838,0.9768127007692816,97.68127007692816,24.0,0.0578,0.1842,05149.csv,101,87,0.08333333333333333,False,original
B0005,15,1.8025980036306504,1.8564874208181574,0.05388941718750706,2.902762312483534,0.9709723768751647,97.09723768751647,24.0,0.058,0.1845,05151.csv,101,86,0.08928571428571429,False,original
B0005,16,1.80210690024615,1.8564874208181574,0.054380520572007374,2.929215676992941,0.9707078432300706,97.07078432300706,24.0,0.0582,0.1848,05153.csv,101,85,0.09523809523809523,False,original
B0005,17,1.802579500826209,1.8564874208181574,0.05390791999194833,2.903758969085339,0.9709624103091467,97.09624103091467,24.0,0.0584,0.1851,05155.csv,101,84,0.10119047619047619,False,original
B0005,18,1.8030683142834096,1.8564874208181574,0.053419106534747796,2.8774289518862397,0.9712257104811376,97.12257104811376,24.0,0.0586,0.18539999999999998,05157.csv,101,83,0.10714285714285714,False,original
B0005,19,1.8027776247196041,1.8564874208181574,0.05370979609855331,2.8930869930098044,0.9710691300699019,97.1069130069902,24.0,0.0588,0.1857,05159.csv,101,82,0.1130952380952381,False,original
B0005,20,1.8470259949329193,1.8564874208181574,0.009461425885238128,0.5096412601098294,0.9949035873989017,99.49035873989017,24.0,0.059,0.186,05162.csv,101,81,0.11904761904761904,False,original
B0005,21,1.847417311283644,1.8564874208181574,0.009070109534513371,0.48856294057280264,0.995114370594272,99.5114370594272,24.0,0.0592,0.1863,05166.csv,101,80,0.125,False,original
B0005,22,1.8361774213478947,1.8564874208181574,0.020309999470262685,1.0940014590194223,0.9890599854098058,98.90599854098058,24.0,0.0594,0.1866,05170.csv,101,79,0.13095238095238096,False,original
B0005,23,1.8257807475776242,1.8564874208181574,0.030706673240533222,1.6540200001463372,0.9834597999985366,98.34597999985365,24.0,0.0596,0.18689999999999998,05174.csv,101,78,0.13690476190476192,False,original
B0005,24,1.8251136435078368,1.8564874208181574,0.03137377731032065,1.689953670491027,0.9831004632950897,98.31004632950896,24.0,0.0598,0.1872,05178.csv,101,77,0.14285714285714285,False,original
B0005,25,1.8255815042203762,1.8564874208181574,0.03090591659778119,1.664752276326273,0.9833524772367372,98.33524772367372,24.0,0.06,0.1875,05182.csv,101,76,0.1488095238095238,False,original
B0005,26,1.8140311275083907,1.8564874208181574,0.042456293309766746,2.286915215997326,0.9771308478400268,97.71308478400267,24.0,0.060200000000000004,0.1878,05186.csv,101,75,0.15476190476190477,False,original
B0005,27,1.8147691941158939,1.8564874208181574,0.04171822670226355,2.2471591368972623,0.9775284086310274,97.75284086310275,24.0,0.0604,0.1881,05190.csv,101,74,0.16071428571428573,False,original
B0005,28,1.813969388710352,1.8564874208181574,0.04251803210780536,2.2902407864992473,0.9770975921350076,97.70975921350076,24.0,0.0606,0.18839999999999998,05194.csv,101,73,0.16666666666666666,False,original
B0005,29,1.802765665167823,1.8564874208181574,0.053721755650334435,2.893731196231815,0.9710626880376818,97.10626880376819,24.0,0.0608,0.18869999999999998,05198.csv,101,72,0.17261904761904762,False,original
B0005,30,1.804077040117352,1.8564874208181574,0.05241038070080539,2.8230937690764444,0.9717690623092355,97.17690623092355,24.0,0.061,0.189,05202.csv,101,71,0.17857142857142858,False,original
B0005,31,1.8518025516704486,1.8564874208181574,0.0046848691477088256,0.2523512465085379,0.9974764875349146,99.74764875349146,24.0,0.061200000000000004,0.1893,05206.csv,101,70,0.18452380952380953,False,original
B0005,32,1.8307038456739428,1.8564874208181574,0.025783575144214588,1.388836512172634,0.9861116348782737,98.61116348782737,24.0,0.0614,0.1896,05210.csv,101,69,0.19047619047619047,False,original
B0005,33,1.8199041089501267,1.8564874208181574,0.036583311868030766,1.9705661055278485,0.9802943389447215,98.02943389447215,24.0,0.0616,0.18989999999999999,05214.csv,101,68,0.19642857142857142,False,original
B0005,34,1.8093079637028517,1.8564874208181574,0.04717945711530569,2.5413292105428655,0.9745867078945714,97.45867078945713,24.0,0.0618,0.19019999999999998,05218.csv,101,67,0.20238095238095238,False,original
B0005,35,1.80460990458052,1.8564874208181574,0.05187751623763748,2.7943909372019857,0.9720560906279802,97.20560906279802,24.0,0.062,0.1905,05222.csv,101,66,0.20833333333333334,False,original
B0005,36,1.7993770651972192,1.8564874208181574,0.05711035562093825,3.076258690498943,0.9692374130950105,96.92374130950105,24.0,0.0622,0.1908,05226.csv,101,65,0.21428571428571427,False,original
B0005,37,1.7884432335370462,1.8564874208181574,0.06804418728111128,3.6652113296369158,0.9633478867036308,96.33478867036308,24.0,0.0624,0.1911,05230.csv,101,64,0.22023809523809523,False,original
